Anglo-Swiss Educational Agency
Banque Fédérale, Vevey
Bank A. G. Guyerzeller
Brown (C. Mc. Intyre)
British Cycle & Motor Cycle Manufacturers' and Traders' Union Ltd.
Chemische Fabrik vorm. Sandoz
Dickinson (R. W.
Bank A. G. Guyerzeller
Banque Fédérale, Vevey
Anglo-Swiss Educational Agency
Comptoir d'Escompte de Genève
De Brunner & Lang-Sims
Behrens (Louis) & Sons
Deuss (L. W. J.)
Ditisheim (Paul) S. A.
Ecole Nouvelle "La Châtaigneraie
Egli (H. W.), S. A.
Eigeldinger (A.) Fils
Handschin & Ronus, Hanro Knitting Works, Ltd.
Harley (T. Edgar)
