transcription	name_found	name	title_found	title	year	page	range_definition	name_list	profession_found	profession	personal_title_found	personal_title	function_found	function
THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND essassessessessessessionsverfasserstossessessessessessessessessessaan	True	THE BRITISH	True	THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND	1921	5	board_member							
Officers and Members of the Board			True	Officers and Members of the Board	1921	5	board_member							
The Hon. THEO. RUSSELL, C.B., C.V. O., Hon. President H. B. M. Minister, Berne	True				1921	5	board_member	THEO. RUSSELL	True	H. B. M. Minister	True	C.V. O.	True	Hon. President
PICTON BAGGE Esq., H.B.M. Commercial Hon. Vice-President Secretary, Berne	True	PICTON BAGGE			1921	5	board_member		True	H.B.M. Commercial Hon. Vice-President Secretary	True	Esq.	True	Hon. Vice-President
FALCONER EVANS CROWE Esq., Basle President	True				1921	5	board_member	FALCONER EVANS CROWE			True	Esq.	True	President
MAURICE GALLAND Esq., Lausanne Vice-President	True				1921	5	board_member	MAURICE GALLAND			True	Esq.	True	Vice-President
T. EDGAR HARLEY Esq., Lucerne Vice-President	True	T. EDGAR			1921	5	board_member	T. EDGAR HARLEY			True	Esq.	True	Vice-President
E. W. BRISCOE Esq., Lloyds & National Hon. Treasurer Provincial Foreign Bank Ltd., Zurich	True	E. W. BRISCOE			1921	5	board_member		True	Treasurer Provincial Foreign Bank Ltd.	True	Esq.	True	Hon. Treasurer
Secretary-General, Head Office, Basle ALEXANDER RICHARDSON Esq.	True				1921	5	board_member	ALEXANDER RICHARDSON			True	Esq.	True	Secretary-General, Head Office
Hon. Secretary, Lausanne Branch MAURICE GALLAND Esq.	True				1921	5	board_member	MAURICE GALLAND			True	Esq.	True	Hon. Secretary, Lausanne Branch
Active Members of the Board			True	Active Members of the Board	1921	5	board_member							
D. BARNETT Esq. Geneva	True	D. BARNETT			1921	5	board_member				True	Esq.		
ARCHIBALD CANNING Esq. Lausanne					1921	5	board_member				True	Esq.		
A. HANMER Esq. Lucerne	True	A. HANMER			1921	5	board_member				True	Esq.		
ROBERT HIBBERT Esq. Basle	True	ROBERT HIBBERT			1921	5	board_member				True	Esq.		
JAMES STRANG Esq. Rorschach	True	JAMES ST			1921	5	board_member				True	Esq.		
