transcription	title_found	title	year	page	range_definition	name_found	name_list	personal_title_found	personal_title	function_found	function	name	profession_found	profession
Corresponding Members of the Board	True	Corresponding Members of the Board	1921	6	board_member									
Lugano 1. R. HAMILTON Esq.			1921	6	board_member	True	R. HAMILTON	True	Esq.					
Territet 2. J. LOMAS Esq.			1921	6	board_member	True	J. LOMAS	True	Esq.					
Hon. Members of the Board	True	Hon. Members of the Board	1921	6	board_member									
THE HON PRESIDENT			1921	6	board_member					True	THE HON PRESIDENT			
THE HON. VICE PRESIDENT			1921	6	board_member					True	THE HON. VICE PRESIDENT			
E. G. B. MAXSE Esq., H. B. M. Consul-General Zürich			1921	6	board_member	True	E. G. B. MAXSE	True	Esq.			E. G. B	True	H. B. M. Consul-General
N. C. HAAG Esq., H. B. M. Consul, Basle			1921	6	board_member	True		True	Esq.			N. C. HAAG	True	H. B. M. Consul
20, Rittergasse, Basle Address of Head Office Telegraphic Address BRITANNICA Basle 33.28 Telephone			1921	6	board_member									
3, Place St. François, Lausanne Address of Branch Office BRITANNICA Lausanne Telegraphic Address 95.31 Telephone			1921	6	board_member									
