transcription	year	page	range_definition	company_found	company	location_found	location	address_found	address
Trade and Name Address	1921	13	index						
AMBULANCE (MOTOR) MANUFACTURERS	1921	13	index						
„Berna“ Lorries Ltd.	1921	13	index	True	„Berna“ Lorries Ltd.				
Olten	1921	13	index			True	Olten		
ANNEALING MACHINES	1921	13	index						
A. C. M. E. (Ateliers de construction Lausanne mécaniques de Lausanne)	1921	13	index			True	Lausanne		
	1921	13	index						
ANILINE COLOUR MANUFACTURERS	1921	13	index						
Clayton Aniline Co. Ltd.	1921	13	index	True	Clayton Aniline Co. Ltd.				
Ashton New Road Clayton, Manchester	1921	13	index			True	Manchester		
Chemische Fabrik vorm. Sandoz	1921	13	index						
Basel	1921	13	index			True	Basel		
J. R. Geigy A. G.	1921	13	index	True	J. R. Geigy A. G				
Basel	1921	13	index			True	Basel		
Sandoz Chemical Co., Ltd.	1921	13	index	True	Sandoz Chemical Co., Ltd.				
Craven Bank Chambers Market Street Bradford	1921	13	index			True	Bradford		
Society for Chemical Industry in Basle	1921	13	index			True	Basle		
Basel	1921	13	index			True	Basel		
ARGON MANUFACTURERS	1921	13	index						
Sauerstoff & Wasserstoff-Werk A.G.	1921	13	index						
Luzern	1921	13	index						
BANKERS	1921	13	index						
Bank A. G. Guyerzeller	1921	13	index	True	Bank A. G				
Bahnhofstrasse 1 Zürich	1921	13	index			True	Zürich		
Banque Fédérale	1921	13	index						
Vevey	1921	13	index			True	Vevey		
Julius Bär & Co	1921	13	index						
Bahnhofstrasse 48 Zürich	1921	13	index			True	Zürich		
Barclay's Foreign Bank Ltd.	1921	13	index	True	Barclay's Foreign Bank Ltd.				
170, Fenchurch Street London, E. C. 3	1921	13	index						
Comptoir d'Escompte de Genève	1921	13	index						
Genève	1921	13	index						
Dominion Express Co., Ltd., of Canada	1921	13	index	True	Dominion Express Co., Ltd.				
62, Charing Cross, London, S W.	1921	13	index					True	62, Charing Cross
Galland & Cie.	1921	13	index						
Place St. François 3 Lausanne & Zermatt	1921	13	index			True	Lausanne		
Lloyds & National Provincial Foreign Bank Ltd	1921	13	index						
Bahnhofstrasse 1 Zürich & Geneva	1921	13	index			True	Geneva		
J. Rinderknecht	1921	13	index						
Bärengasse 13 Zürich	1921	13	index			True	Zürich		
Swiss Bank Corporation	1921	13	index						
Aeschenvorstadt Basel	1921	13	index			True	Basel		
