transcription	headline_found	headline	year	page	range_definition	location_found	location	title_found	title	address_found	address	company_found	company
Trade and Name Address	True	Trade and Name	1921	14	index								
Swiss Bank Corporation			1921	14	index								
Lausanne			1921	14	index	True	Lausanne						
Swiss Bank Corporation			1921	14	index								
Neuchâtel			1921	14	index								
Union Bank of Switzerland			1921	14	index								
Zürich			1921	14	index	True	Zürich						
BANKNOTE PAPER MANUFACTURERS			1921	14	index			True	BANKNOTE PAPER MANUFACTURERS				
Barcham Green & Sons			1921	14	index								
Hayle Mill Maidstone, Kent			1921	14	index	True	Maidstone						
BARRISTERS			1921	14	index			True	BARRISTERS				
Herren & Guerchet			1921	14	index								
Rue Jean-Petitot 10 Genève			1921	14	index								
Louis Kohler			1921	14	index								
11, St. Pierre, Lausanne			1921	14	index	True	Lausanne			True	11, St. Pierre		
BAUXITE MANUFACTURERS			1921	14	index			True	BAUXITE MANUFACTURERS				
Giuliniwerke A. G.			1921	14	index							True	Giuliniwerke A. G
Basel			1921	14	index	True	Basel						
BELTING MANUFACTURERS			1921	14	index			True	BELTING MANUFACTURERS				
Georges Michoud All kinds			1921	14	index								
Lausanne			1921	14	index	True	Lausanne						
BELTING MERCHANTS			1921	14	index			True	BELTING MERCHANTS				
August Fröhlich Leather			1921	14	index								
Bahnhofstrasse 110 Zürich			1921	14	index	True	Zürich						
BLEACHERS			1921	14	index			True	BLEACHERS				
Alther & Guex			1921	14	index								
Flawil			1921	14	index	True	Flawil						
BLOUSE MANUFACTURERS			1921	14	index			True	BLOUSE MANUFACTURERS				
Arbon Embroidery works Ltd. Grieder & Co.			1921	14	index							True	Arbon Embroidery works Ltd.
Arbon Paradeplatz Zürich			1921	14	index	True	Zürich						
A. C. Pearse Ltd.			1921	14	index							True	A. C. Pearse Ltd.
14, Pilcher Gate Nottingham			1921	14	index	True	Nottingham						
Zuberbühler & Co., A. G.			1921	14	index							True	Zuberbühler & Co., A. G
Zurzach			1921	14	index								
BOILER MANUFACTURERS			1921	14	index			True	BOILER MANUFACTURERS				
Sulzer Frères S. A.			1921	14	index							True	Sulzer Frères S. A.
Winterthur			1921	14	index	True	Winterthur						
BOLTING CLOTH (SIK) MANUFACTURERS			1921	14	index			True	BOLTING CLOTH				
Schw. Seidengazefabrik A. G.			1921	14	index							True	Schw. Seidengazefabrik A. G
Thal, bei Rheineck			1921	14	index								
Schw. Seidengazefabrik A. G.			1921	14	index							True	Schw. Seidengazefabrik A. G
Zürich			1921	14	index	True	Zürich						
