transcription	year	page	range_definition	company_found	company	address_found	address	location_found	location
Trade and Name	1921	17	index						
Address	1921	17	index						
CLOCK IMPORTERS	1921	17	index						
Bornand Frères & Co.	1921	17	index	True	Bornand Frères & Co.				
170, Bishopsgate London, E C. 2.	1921	17	index			True	170, Bishopsgate London		
CLOTHING & COSTUMES	1921	17	index						
Ernest Adler Men's outsitting	1921	17	index						
Rue de la Croix 14 Genève	1921	17	index						
Bigard Frères	1921	17	index	True	Bigard Frères				
Rue du Pont 21 Lausanne	1921	17	index					True	Lausanne
Bonnard & Co. General Drapers, retail	1921	17	index	True	Bonnard & Co.				
Place St. François 14 Lausanne	1921	17	index					True	Lausanne
Aimée Carey Knitted costumes, jumpers and coats for ladies in wool and artificial silk, wholesale and retail	1921	17	index						
Jumelles 3 Lausanne	1921	17	index					True	Lausanne
Coate & Co. General Drapers, Tailors, etc. retail	1921	17	index	True	Coate & Co.				
„Old England Rue de la Croix d'Or 8 10, Genève	1921	17	index						
C. P. Coate	1921	17	index						
„Old England Lausanne	1921	17	index					True	Lausanne
Grieder & Co. Wholesale and retail	1921	17	index	True	Grieder & Co.				
Paradeplatz Zürich	1921	17	index						
H. de Groot Men's outfitting, retail	1921	17	index						
„Maison Albion Rue de Bourg 22 Lausanne	1921	17	index					True	Lausanne
Gautsch-Kuhn A. G. Woven sports clothes, etc. in silk, artificial silk, cotton and wool, whole¬ sale	1921	17	index	True	Gautsch-Kuhn A. G				
Aeschengraben 20 Basel	1921	17	index					True	Basel
W. Hollins & Co., Ltd. Blouses, etc. in unshrinkable fabrics	1921	17	index	True	W. Hollins & Co., Ltd.				
Bahnhofstrasse 31 Zürich	1921	17	index						
Holloway Brothers Men's and boys' outfitting, wholesale	1921	17	index	True	Holloway Brothers				
Stroud Gloucester	1921	17	index					True	Gloucester
R. J. Kirkby	1921	17	index						
London House Lausanne	1921	17	index					True	Lausanne
Frank V. Rolls Agent for Burberrys, men's and children's outfitting, retail	1921	17	index						
Rue de le Con¬ fédération 10 Genève	1921	17	index						
Pius Wieler Söhne Sports garments in wool and arti¬ ficial silk for ladies, children and men.	1921	17	index						
Kreuzlingen	1921	17	index						
