transcription	headline_found	headline	year	page	range_definition	company_found	company	location_found	location	title_found	title
Trade and Name Address	True	Trade and Name	1921	20	index						
Jones Brothers Ltd. All classes, speciality „Selvyt polishing cloths and pads			1921	20	index	True	Jones Brothers Ltd.				
21, York Street Manchester			1921	20	index			True	Manchester		
Kuffer & Scott All classes			1921	20	index						
Neuchâtel			1921	20	index						
James Livesey Ltd. All classes			1921	20	index	True	James Livesey Ltd.				
Ewood Mills Blackburn			1921	20	index			True	Blackburn		
Walter Mather & Co. Cambrics, etc.			1921	20	index	True	Walter Mather & Co.				
Peakes Place Cotton Works, Bolton			1921	20	index			True	Bolton		
Reichenbach & Co. All classes			1921	20	index	True	Reichenbach & Co.				
St. Gallen			1921	20	index						
Max Schlatter & Co. All classes			1921	20	index	True	Max Schlatter & Co.				
St. Gallen			1921	20	index						
Total Broadhurst Lee Co., Ltd. All classes, speciality shirtings and fast de goods			1921	20	index	True	Total Broadhurst Lee Co., Ltd.				
56, Oxford Street Manchester			1921	20	index			True	Manchester		
Union Co., Ltd. Embroidered			1921	20	index	True	Union Co., Ltd.				
St. Gallen			1921	20	index						
P. K. Wilson Embroidered			1921	20	index						
St. Gallen			1921	20	index						
Wirth & Co. Embroidered			1921	20	index	True	Wirth & Co.				
Bühler, bei St. Gallen			1921	20	index						
Zuberbühler & Cie. A. G. Embroidered			1921	20	index	True	Zuberbühler & Cie. A. G				
Zurzach			1921	20	index						
COTTON (RAW) SHIPPERS AND MERCHANTS			1921	20	index					True	COTTON (RAW)
Geering & Co.			1921	20	index	True	Geering & Co.				
Basel			1921	20	index			True	Basel		
Merkle & Cie. American, Egyptian and E. Indian			1921	20	index						
Rittergasse 35 Basel			1921	20	index			True	Basel		
J. Planta & Co.			1921	20	index	True	J. Planta & Co.				
P. O. B. 450 Alexandria, Egypt			1921	20	index			True	Alexandria		
Reinhart & Co.			1921	20	index	True	Reinhart & Co.				
Rue Adib 7 Alexandria, Egypt			1921	20	index			True	Alexandria		
Rolo & Co.			1921	20	index	True	Rolo & Co.				
Alexandria			1921	20	index			True	Alexandria		
Volkart Brothers E. Indian Cotton			1921	20	index	True	Volkart Brothers				
Winterthur			1921	20	index			True	Winterthur		
COTTON SPINNERS			1921	20	index					True	COTTON SPINNERS
Greenhalgh & Shaw			1921	20	index						
Halliwell Mills, Bolton			1921	20	index			True	Bolton		
Rochdale, Lancs			1921	20	index			True	Rochdale		
Marland Spinning Co., Ltd.			1921	20	index	True	Marland Spinning Co., Ltd.				
