transcription	headline_found	headline	year	page	range_definition	location_found	location	company_found	company	title_found	title
Trade and Name Address	True	Trade and Name	1921	26	index						
M. E. Hausheer Goods for Far Eastern Market			1921	26	index						
Carmenstrasse 18 Zürich			1921	26	index	True	Zürich				
J. Hopf & Co. Silk, raw, yarns, waste etc.			1921	26	index			True	J. Hopf & Co.		
Centralbahnstrasse 9 Basel			1921	26	index	True	Basel				
E. A. Keller & Co., A. G. Textiles and Sundries			1921	26	index			True	E. A. Keller & Co., A. G		
Bahnhofstrasse 33 Zürich			1921	26	index	True	Zürich				
Langley-London General			1921	26	index	True	London				
161, Borough High Street London S. E.			1921	26	index	True	London				
Hans Müller Coal, ils, machinery			1921	26	index						
St. Gallen			1921	26	index						
J. Planta & Co.			1921	26	index			True	J. Planta & Co.		
P. O. B. 450 Alexandria, Egypt			1921	26	index	True	Alexandria				
Reinhart & Co. Egyptian Cotton			1921	26	index			True	Reinhart & Co.		
Rue Adib 7 Alexandria			1921	26	index	True	Alexandria				
Rolo & Co., Egyptian Cotton			1921	26	index			True	Rolo & Co.		
Alexandra			1921	26	index						
A. G. vorm. B. Siegfried Drugs and Chemicals			1921	26	index						
Zofingen			1921	26	index	True	Zofingen				
Volkart Brothers All kinds of Swiss manufacturered goods exported to India			1921	26	index			True	Volkart Brothers		
Winterthur			1921	26	index	True	Winterthur				
Zollinger & Co.			1921	26	index			True	Zollinger & Co.		
Dreikönigstrasse 34 Zürich			1921	26	index	True	Zürich				
EXTRACTS (CHEMICAL)			1921	26	index					True	EXTRACTS (CHEMICAL)
J. R. Geigy S. A.			1921	26	index						
Basel			1921	26	index	True	Basel				
FABRICS FOR FURNISHING Sandreuter & Co.			1921	26	index			True	FABRICS FOR FURNISHING Sandreuter & Co.	True	FABRICS FOR FURNISHING S
Marktplatz Basel			1921	26	index	True	Basel				
FACTORY FITTINGS			1921	26	index					True	FACTORY FITTINGS
Georges Michoud			1921	26	index						
Place Grand St. Jean 1 Lausanne			1921	26	index	True	Lausanne				
FANS (MACHINE)			1921	26	index					True	FANS (MACHINE)
Sulzer Frères S. A.			1921	26	index			True	Sulzer Frères S. A.		
Winterthur			1921	26	index	True	Winterthur				
FILE MANUFACTURERS Usines Métallurgiques de Vallorbe			1921	26	index					True	FILE MANUFACTURERS U
Vallorbe			1921	26	index						
FILTER-PAPER MANUFACTURERS			1921	26	index					True	FILTER-PAPER MANUFACTURERS
Barcham Green & Son For all technical purposes			1921	26	index						
Hayle Mill Maidstone, Kent			1921	26	index	True	Maidstone				
