transcription	headline_found	headline	year	page	range_definition	title_found	title	location_found	location	company_found	company	address_found	address
Address Trade and Name	True	Trade and Name	1921	27	index								
FITTERS AND ERECTORS OF MACHINERY			1921	27	index	True	FITTERS AND ERECTORS OF						
„Calorie“ S. A.			1921	27	index								
Rue de l'Est 5/7 Genève			1921	27	index								
FINISHERS			1921	27	index	True	FINISHERS						
Alther & Guex			1921	27	index								
Flawil			1921	27	index			True	Flawil				
Färbereien Schetty A. G.			1921	27	index					True	Färbereien Schetty A. G		
Basel			1921	27	index			True	Basel				
FIRE-ENGINE MANUFACTURERS			1921	27	index	True	FIRE-ENGINE MANUFACTURERS						
„Berna“ Lorries Ltd.			1921	27	index			True	Bern	True	„Berna“ Lorries Ltd.		
Olten			1921	27	index			True	Olten				
Kreis & Schlafli All fire-fighting appliances			1921	27	index								
Uraniastrasse 37 Zürich			1921	27	index			True	Zürich				
FLANNEL AND FLANNELETTE MANUFACTURERS			1921	27	index	True	FLANNEL AND FLANNELETTE MANUFACTURERS						
W. Hollins & Co., Ltd.			1921	27	index					True	W. Hollins & Co., Ltd.		
Bahnhofstrasse 31 Zürich			1921	27	index			True	Zürich				
FOODS (PATENT MILK)			1921	27	index	True	FOODS (PATENT MILK)						
Milca Alpina S. A.			1921	27	index								
La Ferrière			1921	27	index								
Nestlé & Anglo-Swiss Condensed Milk Co., Ltd.			1921	27	index					True	Nestlé & Anglo-Swiss Condensed Milk Co.		
Vevey			1921	27	index			True	Vevey				
FORWARDING AND FREIGHT AGENTS			1921	27	index	True	FORWARDING AND FREIGHT AGENTS						
Basler Lagerhausgesellschaft			1921	27	index			True	Basle				
Erlenstrasse 1 Basel			1921	27	index			True	Basel				
Crow & Co., Ltd.			1921	27	index					True	Crow & Co., Ltd.		
Langegasse 9 Basel			1921	27	index			True	Basel				
Danzas & Cie., A. G.			1921	27	index					True	Danzas & Cie., A. G		
Basel			1921	27	index			True	Basel				
Dominion Express Co., Ltd., of Canada			1921	27	index					True	Dominion Express Co., Ltd.		
62, Charing Cross London, S. W.			1921	27	index			True	London			True	62, Charing Cross London
Goth & Co.			1921	27	index					True	Goth & Co.		
Elisabethenstrasse 45 Basel			1921	27	index			True	Basel				
Charles im Obersteg & Co.			1921	27	index					True	Charles im Obersteg & Co.		
Aeschengraben 30 Basel			1921	27	index			True	Basel				
Lep Transport- and Depository Ltd.			1921	27	index					True	Lep Transport- and Depository Ltd.		
Castle Street, Long Clerc, London W. C.			1921	27	index			True	London				
Jacky Maeder & Co.			1921	27	index					True	Jacky Maeder & Co.		
Basel			1921	27	index			True	Basel				
A. Natural, Le Coultre & Cie.			1921	27	index								
Basel			1921	27	index			True	Basel				
