transcription	headline_found	headline	year	page	range_definition	company_found	company	location_found	location	title_found	title
Trade and Name Address	True	Trade and Name	1921	29	index						
Mappin & Webb Ltd.			1921	29	index	True	Mappin & Webb Ltd.				
Galerie St. François Lausanne			1921	29	index			True	Lausanne		
HAIR DEALERS IN			1921	29	index					True	HAIR DEALERS IN
A. H. Guggenheim S. A.			1921	29	index						
Basel			1921	29	index			True	Basel		
HAIRNET MANUFACTURERS			1921	29	index					True	HAIRNET MANUFACTURERS
A. C. Pearse & Co., Ltd.			1921	29	index	True	A. C. Pearse & Co., Ltd.				
14, Pilcher Gate Nottingham			1921	29	index			True	Nottingham		
HANDRERCHIEF MANUFACTURERS			1921	29	index					True	HANDRERCHIEF MANUFACTURERS
Allaman & Co.			1921	29	index	True	Allaman & Co.				
Güttingen, Thurgau			1921	29	index						
Blanc & Berlinger			1921	29	index						
Speicher Appenzell			1921	29	index			True	Speicher		
Church Street Manufacturing Co., Ltd.			1921	29	index	True	Church Street Manufacturing Co.				
Wellington Mill Great Harwood			1921	29	index			True	Wellington		
Jones Brothers Ltd.			1921	29	index	True	Jones Brothers Ltd.				
21, York Street Manchester			1921	29	index			True	Manchester		
Kriesener & Co.			1921	29	index	True	Kriesener & Co.				
St. Leonhardstrasse 31 St. Gallen			1921	29	index						
Obrist & Co.			1921	29	index	True	Obrist & Co.				
St. Gallen			1921	29	index						
Reichenbach & Co.			1921	29	index	True	Reichenbach & Co.				
St. Gallen			1921	29	index						
Zürcher Bros. & Co.			1921	29	index	True	Zürcher Bros. & Co.				
Teufen bei St. Gallen			1921	29	index						
HEATING PLANTS			1921	29	index					True	HEATING PLANTS
„Calorie“ S. A.			1921	29	index						
Rue de l'Est 57 Lausanne			1921	29	index			True	Lausanne		
Sulzer Frères S. A.			1921	29	index	True	Sulzer Frères S. A.				
Winterthur			1921	29	index			True	Winterthur		
HEEL (WOODEN MANUFACTURERS			1921	29	index					True	HEEL (WOODEN MANUFACTURERS
C. F. Bally A. G.			1921	29	index	True	C. F. Bally A. G				
Schönenwerd			1921	29	index						
HIDES, DEALERS IN			1921	29	index					True	HIDES
The Weddel Beef Co.			1921	29	index	True	The Weddel Beef Co.				
Rue du Port 11 Genève			1921	29	index						
HOSIERY MANUFACTURERS			1921	29	index					True	HOSIERY MANUFACTURERS
Buser & Keiser & Co.			1921	29	index	True	Buser & Keiser & Co.				
Laufenburg			1921	29	index						
Devaud, Kunsté & Cie.			1921	29	index						
Rue du Prince 5 Genève			1921	29	index						
