transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location	address_list_found	address_list_item	address_found	address
Trade and Name Address	True	Trade and Name	1921	31	index										
ICE MACHINES			1921	31	index	True	ICE MACHINES								
Société Genevoise d'Instruments de Physique			1921	31	index										
Rue des Vieux Grena¬ diers 8 Genève			1921	31	index										
Sulzer Frères S. A.			1921	31	index			True	Sulzer Frères S. A.						
Winterthur			1921	31	index					True	Winterthur				
IMPORTERS			1921	31	index	True	IMPORTERS								
Ackroyd Brothers Wool, wool waste, etc.			1921	31	index			True	Ackroyd Brothers						
Imperial Buildings Bolton Road Bradford			1921	31	index					True	Bradford	True	Imperial Buildings		
Bornand Frères & Co. Clocks and watches			1921	31	index			True	Bornand Frères & Co.						
170, Bishopsgate London, E. C. 2			1921	31	index					True	London			True	170, Bishopsgate London
Clarendon Manufacturing & Engineering Co., Ltd. Machinery and Machine parts			1921	31	index			True	Clarendon Manufacturing & Engineering Co.						
20, Copthall Avenue London, E. C. 2			1921	31	index					True	London			True	20, Copthall Avenue London
W. H. Dixon Tea			1921	31	index										
Rue Tour de l'Ile 4 Genève			1921	31	index										
Evans-Me Bride Ltd. Textiles			1921	31	index			True	Evans-Me Bride Ltd.						
207, St. James Street Montreal			1921	31	index										
F. Fankhauser & Co. Silks, pore and art. all kinds			1921	31	index			True	F. Fankhauser & Co.						
Malzgasse 18 Basel			1921	31	index					True	Basel				
August Fröhlich Textile leathers, belting and jute cloth			1921	31	index										
Bahnhofstrasse 110 Zürich			1921	31	index					True	Zürich				
Gesellschaft für Verwertung von Ab¬ fällen Cotton and wool waste			1921	31	index										
Birsfelden, Basel			1921	31	index					True	Basel				
Goodbehere Brothers Textile Machinery			1921	31	index			True	Goodbehere Brothers						
Birsigstrasse 82 Basel			1921	31	index					True	Basel				
Robert Hibbert Machinery			1921	31	index										
Holbeinstrasse 56 Basel			1921	31	index					True	Basel				
J. Hopf & Co. Silk, raw, yarns, waste, etc.			1921	31	index			True	J. Hopf & Co.						
Centralbahnstrasse 9 Basel			1921	31	index					True	Basel				
J. M. Huebel-Baudry Rum & Whisky			1921	31	index										
Route de Florissant 6 Genève			1921	31	index										
O. Jaeger Rubber, gutta-percha, tin, etc.			1921	31	index										
Bahnhofstrasse 30 Zürich			1921	31	index					True	Zürich				
Langley-London General			1921	31	index					True	London				
161, Borough High Street London, S. E.			1921	31	index					True	London				
