transcription	year	page	range_definition	location_found	location	company_found	company
Trade and Name Address	1921	38	index				
MOTOR CYCLE MERCHANTS	1921	38	index				
Jan & Cie.	1921	38	index				
Terreaux 10 Lausanne	1921	38	index	True	Lausanne		
MOTOR LORRIES	1921	38	index				
„Berna“ Lorries Ltd.	1921	38	index			True	„Berna“ Lorries Ltd.
Olten	1921	38	index	True	Olten		
Adolphe Saurer S. A.	1921	38	index				
Arbon	1921	38	index				
MUSICAL BOXES, MOUTH ORGANS, ETC.	1921	38	index				
Hermann Thorens	1921	38	index				
Ste-Croix	1921	38	index				
E. Paillard & Co.	1921	38	index			True	E. Paillard & Co.
Ste-Croix	1921	38	index				
MUSLIN MANUFACTURERS	1921	38	index				
C. F. Burditt & Co.	1921	38	index			True	C. F. Burditt & Co.
22, Lloyds Street Manchester	1921	38	index	True	Manchester		
Church Street Manufacturing Co., Ltd.	1921	38	index			True	Church Street Manufacturing Co.
Wellington Mill Great Harwood	1921	38	index	True	Wellington		
H. Freedmann & Co.	1921	38	index			True	H. Freedmann & Co.
17, Cooper Street Manchester	1921	38	index	True	Manchester		
Walter Mather & Co.	1921	38	index			True	Walter Mather & Co.
Peakes Place Cotton Works Bolton	1921	38	index	True	Bolton		
NAINSOOK MANUFACTURERS	1921	38	index				
C. F. Burditt & Co.	1921	38	index			True	C. F. Burditt & Co.
22, Lloyds Street Manchester	1921	38	index	True	Manchester		
NEEDLES FOR GRAMOPHONES	1921	38	index				
E. Paillard & Co.	1921	38	index			True	E. Paillard & Co.
St. Croix	1921	38	index				
Swiss Jewel Co., S. A.	1921	38	index			True	Swiss Jewel Co.
Locarno	1921	38	index				
Hermann Thorins	1921	38	index				
	1921	38	index				
NET (EMBROIDERED) MANUFACTURERS	1921	38	index				
Thomas Adams Ltd.	1921	38	index			True	Thomas Adams Ltd.
Nottingham	1921	38	index	True	Nottingham		
A. C. Pearse & Co., Ltd.	1921	38	index			True	A. C. Pearse & Co., Ltd.
14, Pilcher Gate Nottingham	1921	38	index	True	Nottingham		
OFFICE APPLIANCES AND FURNITURE	1921	38	index				
„Roneo" A. G.	1921	38	index			True	„Roneo" A. G
Bahnhofstrasse St. Annahof Zürich	1921	38	index	True	Zürich		
Kalamazoo (Sales) Ltd.	1921	38	index			True	Kalamazoo (Sales) Ltd.
Sonnenquai 10 Zürich	1921	38	index	True	Zürich		
