transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location
Address Trade and Name	True	Trade and Name	1921	41	index						
POCKET PIPE-LIGHTERS			1921	41	index	True	POCKET PIPE				
Hermann Thorens			1921	41	index						
Ste-Croix			1921	41	index						
POLISHING CLOTES			1921	41	index	True	POLISHING CLOTES				
Jones Brothers Ltd. Trade Mark „Selvyt			1921	41	index			True	Jones Brothers Ltd.		
21, York Street Manchester			1921	41	index					True	Manchester
POSTVANS (MOTOR)			1921	41	index	True	POSTVANS (MOTOR)				
„Berna“ Lorries Ltd.			1921	41	index			True	„Berna“ Lorries Ltd.	True	Bern
Olten			1921	41	index					True	Olten
PRINTERS			1921	41	index	True	PRINTERS				
Calico Printers Association Ltd. Calico printing			1921	41	index			True	Calico Printers Association Ltd.		
St. James's Buildings Oxford Street Manchester			1921	41	index					True	Manchester
Gasser & Co.			1921	41	index			True	Gasser & Co.		
Untere Rheingasse 19 Basel			1921	41	index					True	Basel
Imprimerie du Démocrate			1921	41	index						
Delémont			1921	41	index						
Imprimerie „La Concorde			1921	41	index						
Lausanne			1921	41	index					True	Lausanne
G. Jellico Fine art printers			1921	41	index						
6, Pall Mall London S. W. Place St. François 16			1921	41	index					True	London
G. Vaney-Burnier			1921	41	index						
Lausanne			1921	41	index					True	Lausanne
PUBLISHERS			1921	41	index	True	PUBLISHERS				
G. Jellico Fine art publishers			1921	41	index						
6, Pall Mall London S. W.			1921	41	index					True	London
Théodore Roussy			1921	41	index						
Rue de Bourg 3 Lausanne			1921	41	index					True	Lausanne
RAIL MOTOR CARS			1921	41	index	True	RAIL MOTOR CARS				
Sulzer Frères S. A.			1921	41	index			True	Sulzer Frères S. A.		
Winterthur			1921	41	index					True	Winterthur
RAILMAY AGENTS			1921	41	index	True	RAILMAY AGENTS				
Basler Lagerhausgesellschaft			1921	41	index					True	Basle
Erlenstrasse 1 Basel			1921	41	index					True	Basel
Crow & Co., Ltd.			1921	41	index			True	Crow & Co., Ltd.		
Langegasse 9 Basel			1921	41	index					True	Basel
Danzas & Cie. A. G.			1921	41	index			True	Danzas & Cie. A. G		
Basel			1921	41	index					True	Basel
Dominion Express Co., Ltd., of Canada			1921	41	index			True	Dominion Express Co., Ltd.		
62, Charing Cross London S. W.			1921	41	index					True	London
