transcription	year	page	range_definition	company_found	company	location_found	location
Address Trade and Name	1921	43	index				
Dietschy, Heusler & Co., A. G.	1921	43	index	True	Dietschy, Heusler & Co., A. G		
St. Johannvorstadt 19 Basel	1921	43	index			True	Basel
Gesellschaft für Bandfabrikation	1921	43	index				
St. Johannvorstadt 33 Basel	1921	43	index			True	Basel
Sarasin Söhne A. G.	1921	43	index	True	Sarasin Söhne A. G		
St. Johannvorstadt 3 Basel	1921	43	index			True	Basel
Rodolphe Sarasin & Co.	1921	43	index	True	Rodolphe Sarasin & Co.		
Bäumleingasse 18 Basel	1921	43	index			True	Basel
W. Sarasin & Co.	1921	43	index	True	W. Sarasin & Co.		
St. Albanvorstadt 93 Basel	1921	43	index			True	Basel
Seiler & Co., A. G.	1921	43	index	True	Seiler & Co., A. G		
St. Albanvorstadt 80 Basel	1921	43	index			True	Basel
Senn & Co.	1921	43	index	True	Senn & Co.		
St. Johannvorstadt 17 Basel	1921	43	index			True	Basel
The Silk Ribbon Weavers Syndicate	1921	43	index				
Gelterkinden	1921	43	index				
Thurneysen & Cie.	1921	43	index				
Rittergasse 12 Basel	1921	43	index			True	Basel
Trüdinger & Cons., Ltd.	1921	43	index	True	Trüdinger & Cons., Ltd.		
Basel	1921	43	index			True	Basel
Vischer & Co.	1921	43	index	True	Vischer & Co.		
Rheinsprung Basel	1921	43	index			True	Basel
Vischer vorm. Paravicini A. G.	1921	43	index	True	Vischer vorm. Paravicini A. G		
Basel	1921	43	index			True	Basel
RIBBON MERCHANTS	1921	43	index				
Howes, Williams & Co., Ltd.	1921	43	index	True	Howes, Williams & Co., Ltd.		
3/5 Monkwell Street, London E. C. 2.	1921	43	index			True	London
RUBBER IMPORTERS	1921	43	index				
O. Jaeger	1921	43	index				
Bahnhofstrasse 30 Zürich	1921	43	index			True	Zürich
RUBBER MANUFACTURERS	1921	43	index				
The North British Rubber Co., Ltd.	1921	43	index	True	The North British Rubber Co., Ltd.		
Edinburgh	1921	43	index			True	Edinburgh
RUSK MANUFACTURERS	1921	43	index				
Milca Alpina S. A.	1921	43	index				
La Ferrière	1921	43	index				
SANITARY INSTALLATIONS	1921	43	index				
Calorie S. A.	1921	43	index				
Rue de l'Est 57 Vevey -Genève	1921	43	index			True	Vevey
Gétaz, Romang, Ecoffey	1921	43	index				
Lausanne	1921	43	index			True	Lausanne
SAWS FOR JEWELLERS, DENTISTS AND SURGEONS	1921	43	index				
Sidor S. A.	1921	43	index				
Rue du Parc La Chaux-de-Fonds	1921	43	index				
