transcription	headline_found	headline	year	page	range_definition	title_found	title	company_found	company	location_found	location	address_found	address
Trade and Name Address	True	Trade and Name	1921	44	index								
SCHOOLS			1921	44	index	True	SCHOOLS						
Ecole Nouvelle, La Chataigneraie			1921	44	index								
Coppet pr. Genève			1921	44	index								
Chillon College			1921	44	index								
Villeneuve, Vaud			1921	44	index								
SHIP BROKERS			1921	44	index	True	SHIP BROKERS						
G. de Loriol & Co.			1921	44	index			True	G. de Loriol & Co.				
9, Queen Street Newcastle on Tyne			1921	44	index					True	Newcastle		
SHIP OWNERS			1921	44	index	True	SHIP OWNERS						
H. G. Cann The Maindy Trading Co.			1921	44	index			True	H. G. Cann The Maindy Trading Co.				
Rue de Mogador 31 Paris			1921	44	index								
SHIPPING AGENTS			1921	44	index	True	SHIPPING AGENTS						
Basler Lagerhausgesellschaft			1921	44	index					True	Basle		
Erlenstrasse 1 Basel			1921	44	index					True	Basel		
Crow & Co., Ltd.			1921	44	index			True	Crow & Co., Ltd.				
Langegasse 9 Basel			1921	44	index					True	Basel		
Danzas & Cie., A. G.			1921	44	index			True	Danzas & Cie., A. G				
Basel			1921	44	index					True	Basel		
Dominion Express Co., Ltd., of Canada			1921	44	index			True	Dominion Express Co., Ltd.				
62, Charing Cross London, S. W.			1921	44	index					True	London	True	62, Charing Cross London
Goth & Co.			1921	44	index			True	Goth & Co.				
Elisabethenstrasse 45 Basel			1921	44	index					True	Basel		
Charles im Obersteg & Co.			1921	44	index			True	Charles im Obersteg & Co.				
Aeschengraben 30 Basel			1921	44	index					True	Basel		
Jacky, Maeder & Co.			1921	44	index			True	Jacky, Maeder & Co.				
Basel			1921	44	index					True	Basel		
Lep Transport & Depository Ltd.			1921	44	index			True	Lep Transport & Depository Ltd.				
Castle Street Long Acre London W. C. 2.			1921	44	index					True	London		
A. Natural, Le Coultre & Cie.			1921	44	index								
Basel			1921	44	index					True	Basel		
Perrin & Cie.			1921	44	index								
Place de la Gare Lausanne			1921	44	index					True	Lausanne		
Schw. Schleppschiffahrtgenossenschaft			1921	44	index								
Blumenrain 16 Basel			1921	44	index					True	Basel		
World Transport Agency Ltd.			1921	44	index			True	World Transport Agency Ltd.				
Basel			1921	44	index					True	Basel		
SILK MANUFACTURERS			1921	44	index	True	SILK MANUFACTURERS						
Appenzeller, Keller & Co. Tie and dress goods			1921	44	index			True	Appenzeller, Keller & Co.				
Fraumünsterstrasse 21 Zürich			1921	44	index					True	Zürich		
