transcription	headline_found	headline	year	page	range_definition	location_found	location	title_found	title	company_found	company	address_found	address
Address Trade and Name	True	Trade and Name	1921	50	index								
Schw. Schleppschiffahrt¬ genossenschaft			1921	50	index								
Blumenrain 16 Basel			1921	50	index	True	Basel						
World Transport Agency			1921	50	index								
Basel			1921	50	index	True	Basel						
TRAVELLING OUTEITS			1921	50	index			True	TRAVELLING OUTEITS				
J. Rupert Heywood			1921	50	index	True	Heywood						
Usteristrasse 1 Zürich			1921	50	index	True	Zürich						
TRUCKS, MOTOR			1921	50	index			True	TRUCKS				
„Berna“ Lorries Ltd.			1921	50	index	True	Bern			True	„Berna“ Lorries Ltd.		
Olten			1921	50	index	True	Olten						
TOURIST OFFICES			1921	50	index			True	TOURIST OFFICES				
Cunard Steamship Co., Ltd.			1921	50	index					True	Cunard Steamship Co., Ltd.		
Haldenstrasse 5 Luzern			1921	50	index	True	Luzern						
Dominion Express Co., Ltd., of Canada			1921	50	index					True	Dominion Express Co., Ltd.		
62, Charing Cross London, S. W.			1921	50	index	True	London					True	62, Charing Cross London
Sir Henry Lunn			1921	50	index								
5, Endsleigh Gardens London N. W. I.			1921	50	index	True	London						
Perrin & Cie.			1921	50	index								
Galerie St. François 15 Lausanne			1921	50	index	True	Lausanne						
TYPERITING SUPPLIES			1921	50	index			True	TYPERITING SUPPLIES				
J. Rupert Heywood			1921	50	index	True	Heywood						
Usteristrasse 1 Zürich			1921	50	index	True	Zürich						
TYRE MANUFACTURERS			1921	50	index			True	TYRE MANUFACTURERS				
The North British Rubber Co., Ltd.			1921	50	index					True	The North British Rubber Co., Ltd.		
Edinburgh			1921	50	index	True	Edinburgh						
TULLE MANUFACTURERS			1921	50	index			True	TULLE MANUFACTURERS				
Carl Günther			1921	50	index								
Kesslerstrasse 11 St. Gallen			1921	50	index								
TWEED MANUFACTURERS			1921	50	index			True	TWEED MANUFACTURERS				
James Porteous & Co.			1921	50	index					True	James Porteous & Co.		
Alva Scotland			1921	50	index	True	Alva						
URDERWAR MANUFACTURERS			1921	50	index			True	URDERWAR MANUFACTURERS				
Buser & Keiser & Co. Knitted and woven, ladies, children's and mens			1921	50	index					True	Buser & Keiser & Co.		
Laufenburg			1921	50	index								
Gautsch-Kuhn A. G. Knitted and woven, ladies and children's			1921	50	index					True	Gautsch-Kuhn A. G		
Aeschengraben 20 Basel			1921	50	index	True	Basel						
