transcription	heading_found	heading	company2_found	company2	year	page	range_definition	company_list_found	company_list	page_numbers_found	page_numbers	company_found	company
LIST OF MEMBERS of the British Chamber of Commerce for Switzerland	True	LIST OF MEMBERS of the British Chamber of Commerce for Switzerland	True	British Chamber	1921	57	alphabetical						
Page	True	Page	True	Page	1921	57	alphabetical						
A. C. M. E. (Ateliers de construction mécaniques 11 23 33 de Lausanne) 29 50 52			True	Ateliers	1921	57	alphabetical	True	A. C. M. E. (Ateliers de construction mécaniques 11 23 33 de Lausanne)	True	29 50 52		
Ackroyd Brothers 17 19 31 36 46 49			True	Ackroyd Brothers	1921	57	alphabetical			True	17 19 31 36 46 49	True	Ackroyd Brothers
Adams, Thomas, Limited			True	Adams, Thomas	1921	57	alphabetical					True	Adams, Thomas, Limited
15 28 37 45 Adler, Ernest			True	Adler, Ernest	1921	57	alphabetical			True	15 28 37 45		
932 46 Agency for British Trade, The			True	Agency	1921	57	alphabetical	True	Agency for British Trade, The	True	932 46		
1722 Albrecht, Tobler & Co.			True	Albrecht, Tobler	1921	57	alphabetical			True	1722	True	Albrecht, Tobler & Co.
17 22 23 2 Allaman, Josef & C. 50			True	Allaman, Josef	1921	57	alphabetical			True	17 22 23 2	True	Allaman, Josef & C
Alleman-Hug, Ch.			True	Alleman	1921	57	alphabetical					True	Alleman-Hug, Ch
12 25 35 Alther & Guex			True	Alther & Guex	1921	57	alphabetical	True	Alther & Guex	True	12 25 35		
4252 Appenzeller-Keller & Co.			True	Appenzeller	1921	57	alphabetical			True	4252	True	Appenzeller-Keller & Co.
12 17 22 31 33 Arbon Embroidery works Ltd.			True	Arbon Embroidery	1921	57	alphabetical			True	12 17 22 31 33	True	Arbon Embroidery works Ltd.
„Atlas Manufacture Suisse de Mécanique fine			True	Atlas Manufacture	1921	57	alphabetical	True	„Atlas Manufacture Suisse de Mécanique fine				
22 Automaten-Stickerei Krontal Ltd.			True	Automaten	1921	57	alphabetical			True	22	True	Automaten-Stickerei Krontal Ltd.
40 43 Babel, J. & Cie.			True	Babel, J.	1921	57	alphabetical	True	Babel, J. & Cie.	True	40 43		
Bachelut E.			True	Bachelut E.	1921	57	alphabetical						
1722 Bächtold & Co.			True	Co	1921	57	alphabetical			True	1722	True	Bächtold & Co.
30 33 Baer, Henry & Co.			True	Baer, Henry	1921	57	alphabetical			True	30 33	True	Baer, Henry & Co.
13 27 51 Bally, C. F., Ltd.			True	Bally, C. F.	1921	57	alphabetical			True	13 27 51	True	Bally, C. F., Ltd.
Bank-Aktiengesellschaft Guyerze			True	Bank	1921	57	alphabetical	True	Bank-Aktiengesellschaft Guyerze				
Banque Fédérale, Vevey			True	Banque	1921	57	alphabetical	True	Banque Fédérale, Vevey				
Bär, Julius & Co.			True	Julius & Co	1921	57	alphabetical					True	Bär, Julius & Co.
22437 Barcham-Green, J. & Son			True	Barcham	1921	57	alphabetical	True	Barcham-Green, J. & Son	True	22437	True	Barcham-Green, J
Barclay's Foreign Bank Ltd.			True	Barclay	1921	57	alphabetical					True	Barclay's Foreign Bank Ltd.
946 Barnett, D.			True	Barnett, D.	1921	57	alphabetical			True	946		
13 Barringer, Wallis & Manners Ltd.			True	Barringer, Wallis	1921	57	alphabetical			True	13	True	Barringer, Wallis & Manners Ltd.
45 Bartlett, F. H.			True	Bartlett, F. H.	1921	57	alphabetical			True	45		
19 25 30 39 42 47 Basler Lagerhausgesellschaft			True	Basler Lagerhausge	1921	57	alphabetical	True	Basler Lagerhausgesellschaft	True	19 25 30 39 42 47		
43 Baumann älter & Cie., A. G. vorm.			True	Baumann	1921	57	alphabetical	True	Baumann älter & Cie., A. G. vorm.	True	43	True	Baumann älter & Cie., A. G
