transcription	company2_found	company2	year	page	range_definition	company_found	company	page_numbers_found	page_numbers	company_list_found	company_list
Coulin, P.	True	Coulin, P.	1921	59	alphabetical						
25 30 39 42 47 50 Crow & Co., Ltd.	True	Crow & Co	1921	59	alphabetical	True	Crow & Co., Ltd.	True	25 30 39 42 47 50		
Cunard Steamship Co., Ltd. 13 44 48	True	Cunard Steamship	1921	59	alphabetical	True	Cunard Steamship Co., Ltd.	True	13 44 48		
25 39 42 47 Danzas & Co., Ltd.	True	Danzas & Co	1921	59	alphabetical	True	Danzas & Co., Ltd.	True	25 39 42 47		
De Bary & Co., S. A.	True	De Bary	1921	59	alphabetical	True	De Bary & Co.			True	De Bary & Co., S. A.
De Brunner & Lang-Sims	True	De Brunner	1921	59	alphabetical					True	De Brunner & Lang-Sims
15 20 28 37 De Groot, H.	True	De Groot	1921	59	alphabetical			True	15 20 28 37	True	De Groot, H.
1642 De Loriol, G. & Co.	True	De Loriol	1921	59	alphabetical	True	De Loriol, G. & Co.	True	1642		
30 51 Dennison Watch Case Co., Ltd.	True	Dennison Watch	1921	59	alphabetical	True	Dennison Watch Case Co., Ltd.	True	30 51		
Deprez & Cie.	True	Deprez & Cie	1921	59	alphabetical					True	Deprez & Cie.
De Trey & Co., Ltd.	True	De Trey	1921	59	alphabetical	True	De Trey & Co., Ltd.				
De Villars S. A.	True	De Villars	1921	59	alphabetical					True	De Villars S. A.
Devaud, Kunsté & Cie, S. A.	True	Devaud, Kunst	1921	59	alphabetical					True	Devaud, Kunsté & Cie, S. A.
Dietschy, Heusler & Co.	True	Dietschy, Heusler	1921	59	alphabetical	True	Dietschy, Heusler & Co.				
294 Dixon W. H.	True	Dixon W. H.	1921	59	alphabetical			True	294		
39 42 4447 Dominion Express Co., Ltd., The	True	Dominion Express	1921	59	alphabetical	True	Dominion Express Co., Ltd.	True	39 42 4447	True	Dominion Express Co., Ltd., The
Dubied, Edouard & Cie., S. A.	True	Dubied, Edouard	1921	59	alphabetical	True	Dubied, Edouard & Cie., S. A.				
Durand & Huguenin S. A. 14 16 21	True	Durand & Huguenin	1921	59	alphabetical			True	14 16 21	True	Durand & Huguenin S. A.
Ecole Nouvelle La Chataigneraie	True	Ecole Nouvelle	1921	59	alphabetical					True	Ecole Nouvelle La Chataigneraie
Egli, H. W., S. A. 13	True	Egli, H. W.	1921	59	alphabetical			True	13	True	Egli, H. W., S. A.
Ehrmann & Co. 19 31 47	True	Ehrmann & Co	1921	59	alphabetical	True	Ehrmann & Co.	True	19 31 47		
Eigeldinger, A., Fils	True	Eigeldinger, A.	1921	59	alphabetical					True	Eigeldinger, A., Fils
English & Continental Trading Co., Ltd. The	True	English & Continental	1921	59	alphabetical	True	English & Continental Trading Co.				
Evans, E. A.	True	Evans, E. A.	1921	59	alphabetical						
Evans-Meride Ltd. 9 29 46	True	Evans	1921	59	alphabetical	True	Evans-Meride Ltd.	True	9 29 46		
Fankhauser, F. & Cie. 23 29 43 44 46	True	Fankhauser, F.	1921	59	alphabetical			True	23 29 43 44 46	True	Fankhauser, F. & Cie.
Färberei- und Appretur-Gesellschaft 21 A. Clavel & F. Lindenmeyer	True	Appretur	1921	59	alphabetical						
21 25 Färbereien Schetty A. G.	True	Schetty A. G.	1921	59	alphabetical	True	Färbereien Schetty A. G	True	21 25		
1447 Fivaz & Co.	True	Fivaz & Co	1921	59	alphabetical	True	Fivaz & Co.	True	1447		
Freedman, H. & Co. 17 22 36	True	Freedman, H.	1921	59	alphabetical	True	Freedman, H. & Co.	True	17 22 36		
Frey, J. Heinrich.	True	Frey, J. H	1921	59	alphabetical					True	Frey, J. Heinrich.
9 12 2932 Fröhlich, August	True	Fr	1921	59	alphabetical			True	9 12 2932	True	Fröhlich, August
