transcription	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company_found	company	company_list_found	company_list
11 13 28 30 Galland & Cie.	True	Galland & Cie	True	11 13 28 30	1921	60	alphabetical				
50 Gallet & Cie., S. A.	True	Gallet & Cie	True	50	1921	60	alphabetical	True	Gallet & Cie., S. A.		
Garnett, G. & Sons Ltd.	True	Garnett, G.			1921	60	alphabetical	True	Garnett, G. & Sons Ltd.		
38 39 44 Gasser & Cie.	True	Gasser & Cie	True	38 39 44	1921	60	alphabetical				
9 20 46 Gattiker & Steinmann	True	Gattiker & Steinmann	True	9 20 46	1921	60	alphabetical				
Gaunt, Reuben & Sons Ltd. 52	True	Gaunt, Reuben	True	52	1921	60	alphabetical	True	Gaunt, Reuben & Sons Ltd.		
15 48 Gautsch-Kuhn Ltd.	True	Gautsch	True	15 48	1921	60	alphabetical	True	Gautsch-Kuhn Ltd.		
18 44 46 Geering & Co.	True	Geering & Co	True	18 44 46	1921	60	alphabetical	True	Geering & Co.		
21 24 Geigy, J. R., S.A.	True	Geigy, J. R.	True	21 24	1921	60	alphabetical			True	Geigy, J. R., S.A.
35 46 Geisler, Carl, S. A.	True	Geisler, Carl	True	35 46	1921	60	alphabetical			True	Geisler, Carl, S. A.
26 Gelatinefabrik Winterthur	True	Gelatinefab	True	26	1921	60	alphabetical			True	Gelatinefabrik Winterthur
Gesellschaft der L. von Roll'schen Eisenwer 26 31 52	True	Gesellschaf	True	26 31 52	1921	60	alphabetical				
Gesellschaft für Bandfabrikation	True	Gesellschaf			1921	60	alphabetical			True	Gesellschaft für Bandfabrikation
Gesellschaft für Verwertung von Abfällen	True	Gesellschaf			1921	60	alphabetical			True	Gesellschaft für Verwertung von Abfällen
13 31 Gétaz, Romang, Ecoffey S. A.	True	Romang, Ecoffey	True	13 31	1921	60	alphabetical			True	Gétaz, Romang, Ecoffey S. A.
10 12 41 Giuliniwerke S. A.	True	Giuliniwerk	True	10 12 41	1921	60	alphabetical			True	Giuliniwerke S. A.
26 31 Golay Sons & Stahl Ltd.	True	Golay Sons	True	26 31	1921	60	alphabetical	True	Golay Sons & Stahl Ltd.		
Golf & Sport Hotel, Montana	True	Golf & Sport			1921	60	alphabetical			True	Golf & Sport Hotel, Montana
9 2934 Goodbehere Brothers	True	Goodbehere Brothers	True	9 2934	1921	60	alphabetical	True	Goodbehere Brothers		
38 Goshawk. H. F.	True	Goshawk	True	38	1921	60	alphabetical			True	Goshawk. H. F.
19 25 30 40 42 Goth & Co.	True	Goth & Co	True	19 25 30 40 42	1921	60	alphabetical	True	Goth & Co.		
Greenhalgh & Shaw	True	Greenhalgh & Shaw			1921	60	alphabetical			True	Greenhalgh & Shaw
12 15 35 Grieder & Co.	True	Grieder & Co	True	12 15 35	1921	60	alphabetical	True	Grieder & Co.		
33 Grimshaw, J. H.	True	Grimshaw, J. H.	True	33	1921	60	alphabetical				
27 50 52 Guggenheim, A. H., S. A.	True	Guggenheim, A. H.	True	27 50 52	1921	60	alphabetical			True	Guggenheim, A. H., S. A.
32 48 Günther, Carl	True	Carl	True	32 48	1921	60	alphabetical			True	Günther, Carl
Hall, Robert & Sons (Bury) Ltd.	True	Hall, Robert			1921	60	alphabetical	True	Hall, Robert & Sons (Bury) Ltd.		
1030 Hallet-Vulliémoz, J. G.	True	Hallet	True	1030	1921	60	alphabetical	True	Hallet-Vulliémoz, J	True	Hallet-Vulliémoz, J. G.
49 Handschin & Ronus.	True	Handschin & Ronus	True	49	1921	60	alphabetical				
Harley, T., Edgar	True	Harley, T.			1921	60	alphabetical			True	Harley, T., Edgar
Hausheer, M. E.	True	Hausheer, M. E.			1921	60	alphabetical				
Haworth, Richard & Co., Ltd.	True	Haworth, Richard			1921	60	alphabetical	True	Haworth, Richard & Co., Ltd.		
46 Henry, A & S., & Co., Ltd.	True	Henry	True	46	1921	60	alphabetical	True	Henry, A & S., & Co., Ltd.		
230 38 44 Herren & Guerchet . . . .	True	Herren & Guerchet	True	230 38 44	1921	60	alphabetical			True	Herren & Guerchet
28 48 51 Heywood, J. Rupert	True	Heywood, J. R	True	28 48 51	1921	60	alphabetical			True	Heywood, J. Rupert
