transcription	company_list_found	company_list	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company_found	company
2 34 Hibbert, Robert	True	Hibbert, Robert	True	Hibbert, Robert	True	2 34	1921	61	alphabetical		
Higgins, Eagle & Co.			True	Higgins, Eagle			1921	61	alphabetical	True	Higgins, Eagle & Co.
High Commissioner for South Africa.	True	High Commissioner for South Africa	True	High Commissione			1921	61	alphabetical		
16 Hirter, T. & Co.			True	Hirter, T.	True	16	1921	61	alphabetical	True	Hirter, T. & Co.
His & Co., Ltd.			True	His & Co			1921	61	alphabetical	True	His & Co., Ltd.
Hochuli & Co.			True	Hochuli & Co			1921	61	alphabetical	True	Hochuli & Co.
15 25 Hollins, W. & Co., Ltd.			True	Hollins, W.	True	15 25	1921	61	alphabetical	True	Hollins, W. & Co., Ltd.
14 20 Hoffmann-La Roche, F. & Co., A. G.			True	Hoffmann	True	14 20	1921	61	alphabetical	True	Hoffmann-La Roche, F. & Co., A. G
Holloway Brothers Ltd.			True	Holloway Brothers			1921	61	alphabetical	True	Holloway Brothers Ltd.
24 29 40 43 Hopf, J. & Co. * *			True	Hopf, J.	True	24 29 40 43	1921	61	alphabetical	True	Hopf, J. & Co.
28 Hotel Montfleuri, Lausanne	True	Hotel Montfleuri, Lausanne	True	Hotel Montfleuri	True	28	1921	61	alphabetical		
28 Hotel Parc & Bernerhof, Basel	True	Hotel Parc & Bernerhof, Basel	True	Hotel Parc	True	28	1921	61	alphabetical		
28 Hotel Schweizerhof, Luzern	True	Hotel Schweizerhof, Luzern	True	Hotel Schweizerho	True	28	1921	61	alphabetical		
Howes, Williams & Co., Ltd.			True	Howes, Williams			1921	61	alphabetical	True	Howes, Williams & Co., Ltd.
29 52 Huebel-Baudry, F. M.	True	Huebel-Baudry, F. M.	True	Huebel	True	29 52	1921	61	alphabetical	True	Huebel-Baudry, F
1417 Huguenin, Gattiker & Co., A. G.			True	Huguenin, Gattiker	True	1417	1921	61	alphabetical	True	Huguenin, Gattiker & Co., A. G
25 40 42 47 Im Obersteg, Charles & Co.			True	Im Obersteg	True	25 40 42 47	1921	61	alphabetical	True	Im Obersteg, Charles & Co.
39 Imprimerie commerciale & artistique G. Vaney-Burnier	True	Imprimerie commerciale & artistique G. Vaney-Burnier	True	Imprimerie	True	39	1921	61	alphabetical		
39 Imprimerie du Démocrate	True	Imprimerie du Démocrate	True	Imprimerie	True	39	1921	61	alphabetical		
Imprimerie La Concorde.	True	Imprimerie La Concorde	True	Imprimerie La			1921	61	alphabetical		
43 52 Industriegesellschaft für Schappe	True	Industriegesellschaft für Schappe	True	Industriege	True	43 52	1921	61	alphabetical		
25 40 42 47 Jacky, Maeder & Co.			True	Jacky, Maeder	True	25 40 42 47	1921	61	alphabetical	True	Jacky, Maeder & Co.
16 29 41 46 Jaeger, O.			True	Jaeger, O.	True	16 29 41 46	1921	61	alphabetical		
10 19 35 Jan & Co.			True	Jan & Co	True	10 19 35	1921	61	alphabetical	True	Jan & Co.
Jellico, George.	True	Jellico, George	True	Jellico, George			1921	61	alphabetical		
18 27 Jones Brothers Ltd.			True	Jones Brothers	True	18 27	1921	61	alphabetical	True	Jones Brothers Ltd.
31 35 45 47 Joos & Cie.			True	Joos & Cie	True	31 35 45 47	1921	61	alphabetical		
19 26 31 51 Junod Frères			True	Junod Fr	True	19 26 31 51	1921	61	alphabetical	True	Junod Frères
936 Kalamazoo (Sales) Ltd.			True	Kalamazoo (Sales)	True	936	1921	61	alphabetical	True	Kalamazoo (Sales) Ltd.
22 32 Keel, V.			True	Keel, V.	True	22 32	1921	61	alphabetical		
2146 Keller, Ed. A., & Co., Ltd.			True	Keller, Ed	True	2146	1921	61	alphabetical	True	Keller, Ed. A., & Co., Ltd.
5 20 28 37 Kirkby R. J. . .			True	Kirkby R. J.	True	5 20 28 37	1921	61	alphabetical		
19 Koelliker, A. & Co., A. G.			True	Koelliker, A.	True	19	1921	61	alphabetical	True	Koelliker, A. & Co., A. G
