transcription	board_title_pattern_match	board_title_pattern_item	board_title_pattern_result	year	page	range_definition	profession_pattern_match	profession_pattern_item	profession_pattern_result	personal_titles_list_match	personal_titles_list_item	personal_titles_list_result	function_pattern_match	function_pattern_item	function_pattern_result	name_list_match	name_list_item	name_list_result	name_pattern_match	name_pattern_item	name_pattern_result	name_best_match	name_best_match_type	name_best_match_strategy
THE COUNCIL IN 1922	True	(ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	THE COUNCIL IN 1922	1922	17	board_member																		
OFFICERS OF THE CHAMBER	True	(ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	OFFICERS OF THE CHAMBER	1922	17	board_member																		
The Hon. THEO. RUSSELL, C.B., C.V. O., II. B.M., Minister, Berne, Hon. President				1922	17	board_member	True	(Lloyds & National Provincial Foreign Bank Ltd.|C.B., C.V. O., II. B.M., Minister|H. B. M. Commercial Secretary)	C.B., C.V. O., II. B.M., Minister	True	C.V. O.	C.V. O.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. President	True	THEO. RUSSELL	THEO. RUSSELL	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	EO. RUSSELL	THEO. RUSSELL	list	longest_match
E. C. DONALDSON RALINS Esq., H. B. M. Commercial Secretary, Berne, Hon. Vice-President				1922	17	board_member	True	(Lloyds & National Provincial Foreign Bank Ltd.|C.B., C.V. O., II. B.M., Minister|H. B. M. Commercial Secretary)	H. B. M. Commercial Secretary	True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. Vice-President	True			True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	E. C. DONALDSON	E. C. DONALDSON	pattern	longest_match
FALCONER EVANS CROWE Esq., Basle, President				1922	17	board_member				True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	President	True	FALCONER EVANS CROWE	FALCONER EVANS CROWE						
MAURICE GALLAND Esq., Lausanne, Senior Vice-President				1922	17	board_member				True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Vice-President	True	MAURICE GALLAND	MAURICE GALLAND						
T. EDGAR HARLEY Esq., Lucerne, Junior Vice-President				1922	17	board_member				True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Vice-President	True	T. EDGAR HARLEY	T. EDGAR HARLEY	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	T. EDGAR	T. EDGAR HARLEY	list	longest_match
E. W. BRISCO Esq., Lloyds & National Provincial Foreign Bank Ltd., Geneva, Hon. Treasurer				1922	17	board_member	True	(Lloyds & National Provincial Foreign Bank Ltd.|C.B., C.V. O., II. B.M., Minister|H. B. M. Commercial Secretary)	Lloyds & National Provincial Foreign Bank Ltd.	True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. Treasurer	True	E. W. BRISCO	E. W. BRISCO	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	E. W. BRISCO	E. W. BRISCO	list	longest_match
Secretary-General, Head Office, Basle ALEXANDER RICHARDSON ES.				1922	17	board_member							True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Secretary-General, Head Office	True	ALEXANDER RICHARDSON	ALEXANDER RICHARDSON						
Hon. Secretary, Lausanne Branch MAURICE GALLAND Esq.				1922	17	board_member				True	Esq.	Esq.	True	(\(Chairman\)|\(Secretary\)|Hon\. President|Hon\. Vice-President|President|Hon\. Treasurer|Vice-President|Secretary-General, Head Office|Hon\. Secretary, Lausanne Branch|THE HON PRESIDENT|THE HON. VICE PRESIDENT)	Hon. Secretary, Lausanne Branch	True	MAURICE GALLAND	MAURICE GALLAND						
MEMBERS OF THE COUNCIL	True	(ADVISORY COMMITTEES|Finance Commillee.|Propaganda Commillee.|Rhine Navigation Commillee.|Committee jor French Switzerland.|Watch Industries Commillee.|MEMBERS OF THE COUNCIL|THE COUNCIL IN 1922|Officers and Members of the Board|Active Members of the Board|Corresponding Members of the Board|Hon\. Members of the Board|THE BRITISH CHAMBER OF COMMERCE FOR SWITZERLAND|THE COUNCIL IN 1923|OFFICERS OF THE CHAMBER|Council:)	MEMBERS OF THE COUNCIL	1922	17	board_member																		
D. BARNETT Esq., Geneva				1922	17	board_member				True	Esq.	Esq.				True	D. BARNETT	D. BARNETT	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	D. BARNETT	D. BARNETT	list	longest_match
L. H. BONNAIRE Esq., La Chaux-de-Fonds				1922	17	board_member				True	Esq.	Esq.				True	L. H. BONNAIRE	L. H. BONNAIRE	True	((Mr\. )?([A-Z]{1,2}\.) ([A-Z]{1,2}\. )?[A-Z]{1,10})	L. H. BONNAIRE	L. H. BONNAIRE	list	longest_match
