transcription	company_list_match	company_list_item	company_list_result	year	page	range_definition	title_pattern_match	title_pattern_item	title_pattern_result	company_pattern_match	company_pattern_item	company_pattern_result	address_list_match	address_list_item	address_list_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	address_pattern_match	address_pattern_item	address_pattern_result
Durand & Huguenin, A.-G.	True	Durand & Huguenin, A.-G.	Durand & Huguenin, A.-G.	1922	28	index															
Basse				1922	28	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Basse												
Jenson & Nicholson, Ltd.				1922	28	index				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Jenson & Nicholson, Ltd.									
London, E. 15 Goswell Works, Strat¬ ford				1922	28	index							True	Goswell Works	Goswell Works						
Standard Lack- & Farbenwerke				1922	28	index															
Altstetten, Zürich				1922	28	index															
COMB MANUFACTURERS				1922	28	index															
Deprez & Co.				1922	28	index				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Deprez & Co.									
Nyon				1922	28	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Nyon												
CONDENSERS (ELECTRIC)				1922	28	index										True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(ELECTRIC)			
