transcription	goods_pattern_match	goods_pattern_item	goods_pattern_result	year	page	range_definition	title_pattern_match	title_pattern_item	title_pattern_result	company_list_match	company_list_item	company_list_result	company_pattern_match	company_pattern_item	company_pattern_result	company_best_match	company_best_match_type	company_best_match_strategy	address_pattern_match	address_pattern_item	address_pattern_result
WELDING COMPOUNDS (AUTO- CHEMICAL FOR CAST IRON, ETC.)	True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(AUTO- CHEMICAL FOR CAST IRON, ETC.)	1922	69	index															
Laboratoires Castolin, Wassermann & Cie. Lausanne				1922	69	index															
2, Avenue Fraisse				1922	69	index															
WELDING GASES				1922	69	index															
Sauerstoff & Wasserstoffwerk. A.-G.				1922	69	index															
Lucerne				1922	69	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Lucerne												
WHISKY				1922	69	index															
F. M. Huebel-Baudry," Grierson & Cie. ("Johnnie Walker s Scotch Whisky				1922	69	index				True	F. M. Huebel-Baudry	F. M. Huebel-Baudry	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	F. M	F. M. Huebel-Baudry	list	longest_match			
Geneva 6. Route de Florissant				1922	69	index															
WHEEL MANUFACTURERS				1922	69	index															
Société Anonyme des Aciéries ci-devant Georges Fischer (Steel road wheels)				1922	69	index	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Georges Fischer (Steel road wheels)												
