transcription	companypattern_match	company_pattern_item	company_pattern_result	company_list_match	company_list_item	company_list_result	company_found	company	company2_found	company2	page_numbers_found	page_numbers	year	page	range_definition	company3_found	company3
Quasi Arc Co., Ltd. 14, 25, 31, 44	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Quasi Arc Co., Ltd.	True	Koelliker & Co., S. A.	Koelliker & Co., S. A.	True	Quasi Arc Co., Ltd.	True	Quasi Arc	True	14, 25, 31, 44	1923	18	alphabetical		
Säuberlin & Pfeiffer, S. A. 6, 25, 41	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Quasi Arc Co., Ltd.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.			True	Pfeiffer, S. A.	True	6, 25, 41	1923	18	alphabetical		
Sandoz Chemical Co., Ltd.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sandoz Chemical Co., Ltd.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.	True	Sandoz Chemical Co., Ltd.	True	Sandoz Chemical			1923	18	alphabetical		
Sandreuter & Co. 22, 26	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sandreuter & Co.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.	True	Sandreuter & Co.	True	Sandreuter & Co	True	22, 26	1923	18	alphabetical		
Sarasin (Rodolphe) & Co., Ltd.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sarasin (Rodolphe) & Co., Ltd.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.	True	Sarasin (Rodolphe) &	True	Sarasin (Rodolphe) &			1923	18	alphabetical	True	Sarasin (Rodolphe) & Co., Ltd.
Sarasin (W.) & Co.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sarasin (W.) & Co.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.	True	Sarasin (W.) &	True	Sarasin			1923	18	alphabetical	True	Sarasin (W.) & Co.
Sarasin Söhne, A. G.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sarasin Söhne, A. G.	True	Säuberlin & Pfeiffer, S. A.	Säuberlin & Pfeiffer, S. A.	True	Sarasin Söhne, A. G	True	Sarasin			1923	18	alphabetical		
Sauerstoff- und Wasserstoffwerk A. G. 14. 19	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sarasin Söhne, A. G.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.	True	Sauerstoff- und Wasserstoffwerk A. G	True	Sauerstoff	True	19	1923	18	alphabetical		
Sauer (Adolphe) S. A.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sarasin Söhne, A. G.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.	True	Sauer (Adolphe)	True	Sauer (Adolphe)			1923	18	alphabetical	True	Sauer (Adolphe) S. A.
Sauter (Fritz) A. G. 6, 9.	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sauter (Fritz) A. G.	True	Sauerstoff- und Wasserstoffwerk A. G.	Sauerstoff- und Wasserstoffwerk A. G.	True	Sauter (Fritz)	True	Sauter (Fritz)			1923	18	alphabetical	True	Sauter (Fritz) A. G.
