transcription	title_found	title	year	page	range_definition	name_found	name_list	profession_found	profession	location_found	location	function_found	function	personal_title_found	personal_title	name
THE COUNCIL IN 1923	True	THE COUNCIL IN 1923	1923	22	board_member											
OFFICERS OF THE CHAMBER	True	OFFICERS OF THE CHAMBER	1923	22	board_member											
Hon. President: Sir Milne CHEETHAM, K. C. M. G., H. B. M. Minister. Berne.			1923	22	board_member	True	Sir Milne CHEETHAM	True	H. B. M. Minister	True	Berne.	True	Hon. President			
Hon. Vice-President: A. RICHARDSON, Esq.			1923	22	board_member	True	A. RICHARDSON					True	Hon. Vice-President	True	Esq.	
President: FALCONER EVANS CROWE, Esq., Basle.			1923	22	board_member	True	FALCONER EVANS CROWE			True	Basle.	True	President	True	Esq.	
Vice-Presidents:			1923	22	board_member							True	Vice-President			
MAURICE GALLAND, Esq., Lausanne.			1923	22	board_member	True	MAURICE GALLAND			True	Lausanne.			True	Esq.	
A. S. HANMER, Esq., Lucerne.			1923	22	board_member	True				True	Lucerne.			True	Esq.	A. S. HANMER
Hon. Treasurer: F. C. HOARE, Esq., Manager, Lloyds & National Provincial Foreign Bank, Ltd. Geneva.			1923	22	board_member			True	Manager, Lloyds & National Provincial Foreign Bank, Ltd.	True	Geneva.	True	Hon. Treasurer	True	Esq.	
Council:	True	Council:	1923	22	board_member											
D. BARNETT, Esq., Geneva.			1923	22	board_member	True				True	Geneva.			True	Esq.	D. BARNETT
L. H. BONNAIRE, Esq., Bienne.			1923	22	board_member	True				True	Bienne.			True	Esq.	L. H. BONNAIRE
F. GOODBEHERE, Esq., Basle.			1923	22	board_member	True				True	Basle.			True	Esq.	F. GOODBEHERE
T. EDGAR HARLEY, Esq., Lucerne.			1923	22	board_member	True	T. EDGAR HARLEY			True	Lucerne.			True	Esq.	T. EDGAR
J. R. HEYwooD, Esq., Zurich.			1923	22	board_member	True				True	Zurich.			True	Esq.	J. R. HEYwooD
R. HIBBERT, Esq. Basle.			1923	22	board_member	True				True	Basle.			True	Esq.	R. HIBBERT
W. E. RANDLES, Esq., Olten.			1923	22	board_member	True				True	Olten.			True	Esq.	W. E. RANDLES
E. Russo, Esq., Zurich.			1923	22	board_member	True				True	Zurich.			True	Esq.	E. Russo
