transcription	title_pattern_match	title_pattern_item	title_pattern_result	year	page	range_definition	location_list_match	location_list_item	location_list_result	company_list_match	company_list_item	company_list_result	address_pattern_match	address_pattern_item	address_pattern_result	goods_pattern_match	goods_pattern_item	goods_pattern_result	company_pattern_match	company_pattern_item	company_pattern_result	address_list_match	address_list_item	address_list_result	address_best_match	address_best_match_type	address_best_match_strategy	company_best_match	company_best_match_type	company_best_match_strategy
Hotel Management	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Hotel Management	1927	26	index																								
Société des Hôteliers de Lausanne-Ouchy, Lausanne.				1927	26	index	True	Lausanne.	Lausanne.	True	Société des Hôteliers de Lausanne-Ouchy	Société des Hôteliers de Lausanne-Ouchy																		
Swiss Hotel-Proprietors Association, 35, Aeschengraben, Basle.				1927	26	index	True	Basle.	Basle.	True	Swiss Hotel-Proprietors Association	Swiss Hotel-Proprietors Association	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	35, Aeschengraben															
Hotels	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Hotels	1927	26	index																								
Grand Hotel & Hotel des Alpes, Montreux-Territet.				1927	26	index	True	Territet.	Territet.	True	Grand Hotel & Hotel des Alpes	Grand Hotel & Hotel des Alpes																		
Hotel Beau-Rivage (Ch. Mayer, Prop.), Geneva.				1927	26	index	True	Geneva.	Geneva.																					
Hotel Schweizerhof (O. Hauser), Lucerne.				1927	26	index	True	Lucerne.	Lucerne.	True	Hotel Schweizerhof	Hotel Schweizerhof																		
Hotel St. Gotthard, Zurich.				1927	26	index	True	Zurich.	Zurich.	True	Hotel St. Gotthard	Hotel St. Gotthard																		
Lausanne-Palace (J. Baumgartner), Lausanne.				1927	26	index	True	Lausanne.	Lausanne.	True	Lausanne-Palace	Lausanne-Palace																		
Hotels (utensils and apparatus for)				1927	26	index										True	(?!\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(utensils and apparatus for)												
W. M. Still & Sons, Ltd., 29—31, Charles Street, Hatton Garden, London.				1927	26	index	True	London.	London.				True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	31, Charles Street				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	W. M. Still & Sons, Ltd.	True	29—31, Charles Street	29—31, Charles Street	29—31, Charles Street	list	longest_match			
House and Estate Agents	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	House and Estate Agents	1927	26	index																								
Galland & Co., 3. Place St. François, Lausanne.				1927	26	index	True	Lausanne.	Lausanne.				True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	3. Place St. François				True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Galland & Co.	True	3. Place St. François	3. Place St. François	3. Place St. François	pattern	longest_match			
Humidifying Plants	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Humidifying Plants	1927	26	index																								
Sulzer Frères S. A., Winterthur.				1927	26	index	True	Winterthur.	Winterthur.	True	Sulzer Frères S. A.	Sulzer Frères S. A.							True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Sulzer Frères S. A.							Sulzer Frères S. A.	pattern	longest_match
Hydrogen Plant	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Hydrogen Plant	1927	26	index																								
The International Electrolytic Plant Co., Ltd., City Electricity Works, New Crane Street, Chester.				1927	26	index	True	Chester.	Chester.	True	The International Electrolytic Plant Co., Ltd.	The International Electrolytic Plant Co., Ltd.							True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	The International Electrolytic Plant Co.	True	New Crane Street	New Crane Street				The International Electrolytic Plant Co., Ltd.	list	longest_match
