transcription	title_found	title	year	page	range_definition	function_found	function	location_found	location	personal_title_found	personal_title	name_found	name_list	name
OFFICERS OF THE CHAMBER	True	OFFICERS OF THE CHAMBER	1931	14	board_member									
Hon. President:			1931	14	board_member	True	Hon. President							
His Britannic Majestys Minister to the Swiss Confederation, Berne.			1931	14	board_member			True	Berne.					
President:			1931	14	board_member	True	President							
FALCONER EVANS CROME, Esq., Basle.			1931	14	board_member			True	Basle.	True	Esq.			
Vice-Presidents:			1931	14	board_member	True	Vice-President							
MAURICE GALLAND, Esq., Lausanne.			1931	14	board_member			True	Lausanne.	True	Esq.	True	MAURICE GALLAND	
ROBERT HIBBERT, Esq., Basle.			1931	14	board_member			True	Basle.	True	Esq.	True		ROBERT HIBBERT
Hon. Treasurer:			1931	14	board_member	True	Hon. Treasurer							
E. W. BRISCOE, Esq., Manager, Lloyds and National Provincial Foreign Bank, Ltd. Geneva.			1931	14	board_member			True	Geneva.	True	Esq.	True		E. W. BRISCOE
Council :			1931	14	board_member									
D. BARNETT, Esq.			1931	14	board_member					True	Esq.	True		D. BARNETT
Geneva.			1931	14	board_member			True	Geneva.					
L. H. BONNAIRE, Esq.			1931	14	board_member					True	Esq.	True		L. H. BONNAIRE
Bienne			1931	14	board_member									
W. F. DICKSON, Esq.			1931	14	board_member					True	Esq.	True		W. F. DICKSON
Zurich.			1931	14	board_member			True	Zurich.					
JAS. EASTON, Esq.			1931	14	board_member					True	Esq.			
Zurich.			1931	14	board_member			True	Zurich.					
G. E. FARR. Esq.			1931	14	board_member					True	Esq.	True		G. E. FARR
Berne.			1931	14	board_member			True	Berne.					
A. GOODREHERE, Esq.			1931	14	board_member					True	Esq.	True		A. GOODREHERE
Basle.			1931	14	board_member			True	Basle.					
S. RUSSELL, Esq.			1931	14	board_member					True	Esq.	True		S. RUSSELL
Olten.			1931	14	board_member			True	Olten.					
