transcription	title_pattern_match	title_pattern_item	title_pattern_result	year	page	range_definition	company_pattern_match	company_pattern_item	company_pattern_result	address_pattern_match	address_pattern_item	address_pattern_result	phone_number_pattern_match	phone_number_pattern_item	phone_number_pattern_result	telegraph_pattern_match	telegraph_pattern_item	telegraph_pattern_result	title_list_match	title_list_item	title_list_result	location_list_match	location_list_item	location_list_result	company_list_match	company_list_item	company_list_result	company_best_match	company_best_match_type	company_best_match_strategy	goods_pattern_match	goods_pattern_item	goods_pattern_result	address_list_match	address_list_item	address_list_result
General Produce Merchants	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	General Produce Merchants	1935	22	index																														
John Layton & Co., Led 10, Seidengasse, Zürich 1; Phone 35.166, Telegrams « Laytonco » Zurich				1935	22	index	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	John Layton & Co.	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	10, Seidengasse	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 35.166	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Laytonco »																		
Gentlemen's Outfitters				1935	22	index													True	Gentlemen's Outfitters	Gentlemen's Outfitters															
W. Thornton, 59, Freiestrasse, Basle; Phone 41.695. Telegrams « Thornton » Basle.				1935	22	index	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	W. Thornton	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	59, Freiestrasse	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 41.695	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Thornton »				True	Basle.	Basle.												
Gin	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Gin	1935	22	index																														
La Maison Darphin, Zoug; Phone 4.90, Telegrams « Darphin » Zoug. (Those interested are heartily in¬ vited to visit the wine cellars and depots in Zoug).				1935	22	index	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	La Maison				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 4.90	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Darphin »				True	Zoug.	Zoug.	True	La Maison Darphin	La Maison Darphin	La Maison Darphin	list	longest_match	True	(?!\(Mr. Egli; Phone 44.461, Basle\)|\(Vaud\)|\(Grands Magasins Innovation S.A.\)|\(St. Gall\)|\((Grands Magasins Innovation, S.A.)\)|\(agent\)|\(Egypt\)|\(J. Baumgartner\)|\(O. Hauser\)|\(Ch. Mayer, Prop.\)|\(Stockport\)|\(Switzerland\)|\(Burg\)|\(Continental\)|\(1920\)|\(Bury\)|\(England\))\(.{1,150}\),? ?	(Those interested are heartily in¬ vited to visit the wine cellars and depots in Zoug)			
Grocers (wholesale and retail)				1935	22	index													True	Grocers (wholesale and retail)	Grocers (wholesale and retail)															
Manuel & Cie., S. A. 5, Place St-François, Lausanne ; Phone 23351, Telegrams « Manuelco » Lausanne.				1935	22	index	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Manuel & Cie., S. A.	True	([0-9]{1,4}(,|\.) [A-Z].{1,15}(sprung|quai|berg|rain|vorstadt|weg|allee|gasse|graben|strasse|platz| Street| Road)|[0-9]{1,4}(,|\.)? (rue de la|Route des|Route de|Boulevard de|Charing|Via|Pall|Avenue de|Rue|Rue de|Grand|Rue du|rue|St.|Avenue|Place|Avenue de la|Rue de la|Ruelle) [A-Z].{1,15},|[A-Z][a-z]{1,10} (E.| W. S.) [0-9]{1,3})	5, Place St-François	True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 23351	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams « Manuelco »				True	Lausanne.	Lausanne.												
Handkerchief Manufacturers	True	(([A-Z][a-z]{1,10})? ?([A-Z][a-z]{1,10}) \(([A-Z][a-z]{1,10})? ?([a-z]{1,15})?,? ?([a-z]{1,15})\)$|^ ?[A-Z][a-z]{1,20}(( and | und )? ?-?[A-Z][a-z]{1,20})?( and | und )?( ?[A-Z][a-z]{1,20})?( ?\([A-Z][a-z]{1,10}\))?$|^ ?[A-Z][a-z]{1,10} \([A-Z][a-z]{1,10}\) [A-Z][a-z]{1,15}$)	Handkerchief Manufacturers	1935	22	index																														
Church Street Manufacturing Co., Ltd., Wellington Mill, Great Harwood; Phone 160/1, 167, Telegrams Church, Great Harwood.				1935	22	index	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.|^[A-Z][a-z]{1,10} [A-Z][a-z]{1,10},)	Church Street Manufacturing Co.				True	(Phone ([A-Z][a-z]{1,10} )?[0-9]{1,5}((\/|\.| )[0-9]{1,5})?|Phones [0-9]{1,5}.{1,8};|Phone « [A-Z][a-z]{1,10} » [0-9]{1,6}|Phone [A-Z][a-z]{1,10}, [0-9]{1,6})	Phone 160/1	True	((Telegrams|Tele¬ grams|Telgrams|Tele grams) « ?[A-Z][a-z].{1,25}([a-z]|é) ?»|(Telegrams) « [A-Z][a-z].{1,25}[a-z](,| )|Telegrams [A-Z][a-z]{1,10})	Telegrams Church				True	Great Harwood.	Great Harwood.	True	Church Street Manufacturing Co., Ltd.	Church Street Manufacturing Co., Ltd.	Church Street Manufacturing Co., Ltd.	list	longest_match				True	Wellington Mill	Wellington Mill
