transcription	location_found	location	company_found	company	phone_found	phone	telegram_found	telegram	address_list_found	address_list_item	year	page	range_definition	address_found	address	title_found	title	goods_found	goods	company_list_found	company_list
Danzas & Co., A.-G., Holbeinplatz, Basle ; Phone 23.636. Telegrams « Danzas » Basle.	True	Basle	True	Danzas & Co., A.-G	True	Phone 23.636	True	Telegrams « Danzas »	True	Holbeinplatz	1935	40	index								
Goth & Co., 45, Elisabethenstrasse, Basle ; Phone 21.940. Telegrams « Gotheo » Basle.	True	Basle	True	Goth & Co.	True	Phone 21.940	True	Telegrams « Gotheo »			1935	40	index	True	45, Elisabethenstrasse						
Lavanchy & Co, Successeurs de Perrin & Co., Gare Centrale, Lausanne ; Phone 27.211, Telegrams « La¬ vanchygare » Lausanne.	True	Lausanne	True	Lavanchy & Co, Successeurs de Perrin & Co.	True	Phone 27.211	True	Telegrams « La¬ vanchygare »	True	Gare Centrale	1935	40	index								
Waste Merchants											1935	40	index			True	Waste Merchants				
Ackroyd Brothers (wool waste), Imperial Buildings, Bradford ; Phone 4545-6-7-8, Telegrams « Moufflon » Bradford.	True	Bradford	True	Ackroyd Brothers	True	Phone 4545	True	Telegrams « Moufflon »	True	Imperial Buildings	1935	40	index					True	wool waste		
J. Hopf & Co. (silk and artificial silk waste, all kinds). 12, Aeschengraben, Basle ; Phone 41.900, Telegrams « Artemis » Basle	True	Basle	True	J. Hopf & Co.	True	Phone 41.900	True	Telegrams « Artemis »			1935	40	index	True	12, Aeschengraben			True	silk and artificial silk waste, all kinds		
Watch Manufacturers											1935	40	index			True	Watch Manufacturers				
Louis Brandt & Frère, S.A., Omega Watch Co. (manu¬ facturers of the renowned Omega Watch), Bienne; Phone 35.11, Telegrams « Omega » Bienne.	True	Bienne	True	Louis Brandt & Frère, S.A., Omega Watch Co.	True	Phone 35.11	True	Telegrams « Omega »			1935	40	index					True	manu¬ facturers of the renowned Omega Watch		
J. Lapanouse, Bubendorf, Baselland; (Speciality: Cheap watches); Phone 40, Telegrams « Rego » Bubendorf	True	Basel	True	J. Lapanouse	True	Phone 40	True	Telegrams « Rego »			1935	40	index					True	Speciality: Cheap watches		
Omega Watch Co., Louis Brandt & Frère, S. A. Bienne; Phone 35.11, Telegrams « Omega » Bienne.	True	Bienne	True	Omega Watch Co.	True	Phone 35.11	True	Telegrams « Omega »			1935	40	index								
Waterproof Garment Manufacturers											1935	40	index			True	Waterproof Garment Manufacturers				
The North British Rubber Co. (Continental) Ltd. (fabrics and garments), « Sihlporte », 1, Lowenstrasse, Zurich: Phone 52.550, Telegrams « Clincher » Zurich.	True	Zurich	True	The North British Rubber Co.	True	Phone 52.550	True	Telegrams « Clincher »			1935	40	index	True	1, Lowenstrasse			True	Continental) Ltd. (fabrics and garments		
Webbings (Elastic)											1935	40	index			True	Webbings (Elastic)	True	Elastic		
Bally's Shoe Factories, Ltd. Schonenwerd ; Phone 4. Telegrams « Bally » Schœnenwerd.	True	Schonenwerd	True	Bally's Shoe Factories, Ltd.	True	Phone 4	True	Telegrams « Bally »			1935	40	index								
Wheel Manufacturers											1935	40	index			True	Wheel Manufacturers				
Société Anonyme des Aciéries ci-devant Georges Fischer, (steel road wheels), Schaffhouse; Phone 25, Telegrams « Ferrostalo » Schaffhouse.	True	Schaffhouse			True	Phone 25	True	Telegrams « Ferrostalo »			1935	40	index					True	steel road wheels		
Whisky (Merchants)											1935	40	index			True	Whisky (Merchants)	True	Merchants		
Jean Hacky Importation S.A., 12/18. Laufenstrasse, Basle (Agents for Dewar's « White Label » Whisky); Phone 28.814, Telegrams « Hacky » Basle.	True	Basle			True	Phone 28.814	True	Telegrams « Hacky »			1935	40	index	True	18. Laufenstrasse			True	Agents for Dewar's « White Label » Whisky		
La Maison Darphin, Zoug; Phone 4.90, Telegrams « Darphin » Zoug. (Those interested are heartily in¬ vited to visit the wine cellars and depots in Zoug.)	True	Zoug	True	La Maison	True	Phone 4.90	True	Telegrams « Darphin »			1935	40	index					True	Those interested are heartily in¬ vited to visit the wine cellars and depots in Zoug.	True	La Maison Darphin
