transcription	page_number_pattern_match	page_number_pattern_item	page_number_pattern_result	company_pattern_match	company_pattern_item	company_pattern_result	company_2_pattern_match	company_2_pattern_item	company_2_pattern_result	year	page	range_definition
Galland & Co., Lausanne.  Galland & Co., Lausanne.  Galland & Co., Lausanne.  Galland & Co., Lausanne.  Galland & Co., Lausanne. 9, 10, 20, 21, 24, 26, 30, 33  9, 10, 20, 21, 24, 26, 30, 33  9, 10, 20, 21, 24, 26, 30, 33  9, 10, 20, 21, 24, 26, 30, 33  9, 10, 20, 21, 24, 26, 30, 33	True	(([0-9]{1,5},? ?){1,15}$|^ ?([0-9]{1,5},? ?){1,15})	9, 10, 20, 21, 24, 26, 30, 33	True	(^.{1,30} ? (Frères|Brothers|Co\.|& Co\.,|Ltd\.|& Cie.,|S\. A\.,|A\.-G\.,|A\. G\.) ?(S. A.)?|^[A-Z]. [A-Z]. \w{1,10}|^ ?[A-Z][a-z]{1,3}\. \w{1,10}-?\w{1,10}|^\w{1,10} & \w{1,10}|^ ?[A-Z]. \w{1,10}|.{1,100} Co\.)	Galland & Co.	True	(([A-Z][a-z]{1,10},? &? ?[A-Z][a-z]{1,10}|[A-Z][a-z]{1,10},? [A-Z]\. ?[A-Z]?\.?|[A-Z][a-z]{1,8},? ?\([A-Z][a-z]{1,8}\)( ?&? ? (Sons)?)|[A-Z][a-z]{1,10} ?,?&? ?))	Galland & Co	1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
27.	True	(([0-9]{1,5},? ?){1,15}$|^ ?([0-9]{1,5},? ?){1,15})	27							1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
										1937	7	alphabetical
