transcription	name_found	name	year	page	range_definition	title_found	title	function_found	function	personal_title_found	personal_title
THE BRITIS CHAMBER OF COMMERCE FOR SWITZERLAND INC.	True	THE BRIT	1948	36	board_member						
OFFICERS OF THE CHAMBER			1948	36	board_member	True	OFFICERS OF THE CHAMBER				
Hon. President:			1948	36	board_member			True	Hon. President		
T. M. Snow Esq., C. M. G., His Britannic Majestys	True	T. M. Snow	1948	36	board_member					True	Esq.
Minister to the Swiss Confederation.			1948	36	board_member						
President:			1948	36	board_member			True	President		
N. H. Hampton Esq., Manager, Lloyds & National	True	N. H. Hampton	1948	36	board_member					True	Esq.
Provincial Foreign Bank Ltd., Geneva			1948	36	board_member						
Vice-Presidents:			1948	36	board_member			True	Vice-President		
M. Galland Esq., Lausanne	True	M. Galland	1948	36	board_member					True	Esq.
George Hodson Esq., Geneva			1948	36	board_member					True	Esq.
Hon. Treasurer:			1948	36	board_member			True	Hon. Treasurer		
H. A. Crowe Esq., Basle	True	H. A. Crowe	1948	36	board_member					True	Esq.
Council			1948	36	board_member						
A. S. Anastasi Esq., Lugano	True	A. S. Anastasi	1948	36	board_member					True	Esq.
M. Binney Esq., Zürich	True	M. Binney	1948	36	board_member					True	Esq.
L. S. Haptie Esq., Lucerne	True	L. S. Haptie	1948	36	board_member					True	Esq.
Robert Hibbert Esq., Liestal			1948	36	board_member					True	Esq.
G. H. T. Johnson Esq., Zürich	True	G. H. T	1948	36	board_member					True	Esq.
H. M. Norman Esq., Zürich	True	H. M. Norman	1948	36	board_member					True	Esq.
